price,fullbath,halfbath,squarefe,acres,age,cbddist,hamburgd,fayettem,parkdist,bedrooms
46650,2,0,1126,0.1342999935,0,1.11952889,5.20173502,2.363929749,1.246118665,4
315000,6,0,3604,0.1721999943,1,1.117391229,5.016849995,2.259876728,1.103634238,8
310000,2,1,3304,0.1721999943,80,1.163715005,5.024490356,2.210446119,1.128086448,10
135000,2,0,1964,4,85,1.900231361,6.402239323,3.152176857,0.6246416569,7
330000,2,0,1964,4,85,1.900231361,6.402239323,3.152176857,0.6246416569,7
124000,1,0,1897,0.4503999949,63,1.794976473,6.302310467,3.143349648,0.7268984914,7
75000,1,1,1773,0.2073000073,36,1.716110229,6.135719776,2.823620796,0.7078616619,6
116350,2,1,2042,0.2169000059,36,1.805521727,6.229938984,2.854012251,0.6270784736,5
160000,2,0,2115,0.826399982,86,1.462807536,5.989102364,3.145158291,1.056827426,4
160000,2,1,1688,0.3673000038,46,2.034669876,6.423754692,2.804227114,0.3896717131,8
82500,2,0,1232,0.06260000169,3,1.286277294,5.700441837,2.77825284,1.130408525,3
130000,2,0,2160,0.5468999743,62,1.852061391,6.356342793,3.147055626,0.6710535288,8
215000,2,0,2454,0.2570999861,2,3.145678997,7.607599258,3.561971664,0.285338074,6
83450,1,0,1180,0.2383999974,12,2.219020844,6.778362274,3.633128881,0.7307140827,4
85500,1,0,1208,0.2038999945,71,1.659615874,6.196389675,3.247848749,0.9055039883,4
45000,2,0,2176,0.2570999861,0,3.15047574,7.612155437,3.563834667,0.2872483134,6
229000,2,0,2176,0.1851000041,0,3.140328884,7.614205837,3.610748291,0.3337349892,4
77000,1,0,1118,0.1791000068,10,2.346274376,6.906679153,3.706864357,0.7311788797,4
206500,2,0,2470,0.1851000041,1,3.140765429,7.617679596,3.624657869,0.3478328586,8
229900,2,0,2569,0.3077999949,1,3.218361139,7.701487541,3.700745583,0.4240942597,8
45000,2,0,2176,0.1851000041,0,3.140328884,7.614205837,3.610748291,0.3337349892,4
227450,2,0,2176,0.2570999861,0,3.15047574,7.612155437,3.563834667,0.2872483134,6
80000,1,0,1183,0.2273000032,62,1.484834671,6.032546997,3.264621258,1.083365202,5
79000,1,0,1398,0.2038999945,60,1.783052683,6.308061123,3.222507477,0.772108674,9
110000,1,0,1570,0.826399982,87,1.6026057,6.144783974,3.262644291,0.9683961868,6
132000,2,0,1905,0.2540000081,53,1.977474093,6.496442795,3.257163525,0.6003952622,5
90000,1,0,2204,0.1907999963,9,2.353123188,6.913754463,3.712852001,0.7340378165,4
102500,2,0,1228,0.1779000014,9,2.359147549,6.919882774,3.717073441,0.735417366,4
205000,2,0,2468,0.2099000067,2,3.163466215,7.641112328,3.641740322,0.3647028804,7
59000,1,0,1176,0.1263000071,54,1.776867747,6.302138805,3.221920967,0.7779108286,5
85000,2,0,1381,0.1779000014,73,1.780111909,6.310553074,3.249837399,0.7888946533,6
60000,1,0,990,0.5813000202,68,1.796129823,6.334927559,3.302291393,0.8033373356,3
205000,2,0,2143,0.2481999993,1,3.150844097,7.63250351,3.652485371,0.3758493066,7
115000,1,0,1687,0.2433000058,74,1.904422045,6.423516273,3.232309818,0.6576747298,5
76500,2,0,1537,0.2057999969,36,1.403726935,5.944774628,3.206128836,1.13605082,6
70000,1,0,1170,0.1263000071,62,1.781540155,6.306612968,3.222362757,0.7735268474,7
86000,2,0,1278,0.2105000019,13,2.159820557,6.72210598,3.637835741,0.7783347368,3
41000,2,0,1661,0.2576999962,0,1.588615179,5.998412132,4.282903194,1.044559002,3
183200,2,0,1661,0.2576999962,0,1.588615179,5.998412132,4.282903194,1.044559002,3
